epoch,train_loss,dev_loss,accuracy,macro_f1,abuse_macro_f1,abuse_micro_precision,abuse_micro_recall,abuse_micro_f1,dev_tokens,O_precision,O_recall,O_f1,B-ABUSE_precision,B-ABUSE_recall,B-ABUSE_f1,I-ABUSE_precision,I-ABUSE_recall,I-ABUSE_f1
1,2.556803652504459,0.7934080921113491,0.9795891835673427,0.6009877743326985,0.8137603795966786,0.8979057591623036,0.7440347071583514,0.8137603795966786,7692,0.9838577291381669,0.9946065551099433,0.9892029434014168,0.8979057591623036,0.7440347071583514,0.8137603795966786,0.0,0.0,0.0
2,0.25458052961621436,0.8084301091730595,0.9888195527821113,0.6335926310685505,0.9067245119305857,0.9067245119305857,0.9067245119305857,0.9067245119305857,7692,0.9940533812750657,0.9940533812750657,0.9940533812750657,0.9067245119305857,0.9067245119305857,0.9067245119305857,0.0,0.0,0.0
3,0.11978465508921848,0.8959558587521315,0.9897295891835673,0.6364990293794992,0.914962325080732,0.9081196581196581,0.9219088937093276,0.914962325080732,7692,0.9950166112956811,0.9940533812750657,0.9945347630577656,0.9081196581196581,0.9219088937093276,0.914962325080732,0.0,0.0,0.0
4,0.0703910924581578,0.9816800728440285,0.9902496099843994,0.6381413985525095,0.9196141479099678,0.9088983050847458,0.93058568329718,0.9196141479099678,7692,0.9955678670360111,0.9940533812750657,0.9948100477475608,0.9088983050847458,0.93058568329718,0.9196141479099678,0.0,0.0,0.0
5,0.048136355734216825,1.0522552002221346,0.9902496099843994,0.6381984752073461,0.9197860962566844,0.9071729957805907,0.9327548806941431,0.9197860962566844,7692,0.9957051814907176,0.9939150878163463,0.9948093293653539,0.9071729957805907,0.9327548806941431,0.9197860962566844,0.0,0.0,0.0
6,0.028192776140834517,1.064676396548748,0.9903796151846074,0.6386061182572811,0.920940170940171,0.9073684210526316,0.9349240780911063,0.920940170940171,7692,0.9958431481224885,0.9939150878163463,0.9948781838316723,0.9073684210526316,0.9349240780911063,0.920940170940171,0.0,0.0,0.0
7,0.02833860151101059,1.0790881123393774,0.9906396255850234,0.6394189531762087,0.9232409381663113,0.9077568134171907,0.9392624728850325,0.9232409381663113,7692,0.9961191961191961,0.9939150878163463,0.9950159213623149,0.9077568134171907,0.9392624728850325,0.9232409381663113,0.0,0.0,0.0
8,0.015212002278591779,1.2321157213300467,0.9903796151846074,0.6386061182572811,0.920940170940171,0.9073684210526316,0.9349240780911063,0.920940170940171,7692,0.9958431481224885,0.9939150878163463,0.9948781838316723,0.9073684210526316,0.9349240780911063,0.920940170940171,0.0,0.0,0.0
9,0.01356265231782648,1.2191038113087416,0.9906396255850234,0.6394189531762087,0.9232409381663113,0.9077568134171907,0.9392624728850325,0.9232409381663113,7692,0.9961191961191961,0.9939150878163463,0.9950159213623149,0.9077568134171907,0.9392624728850325,0.9232409381663113,0.0,0.0,0.0
10,0.011376933278976745,1.294201074168086,0.9905096203848154,0.6390680230657141,0.9222577209797658,0.9058577405857741,0.9392624728850325,0.9222577209797658,7692,0.9961186581646798,0.9937767943576269,0.9949463482173763,0.9058577405857741,0.9392624728850325,0.9222577209797658,0.0,0.0,0.0
11,0.010290444561602878,1.4122258834540844,0.9903796151846074,0.6386620722459182,0.9211087420042645,0.9056603773584906,0.9370932754880694,0.9211087420042645,7692,0.995980595980596,0.9937767943576269,0.9948774747334902,0.9056603773584906,0.9370932754880694,0.9211087420042645,0.0,0.0,0.0
12,0.007779293505033517,1.4664377998560667,0.9902496099843994,0.6381984752073461,0.9197860962566844,0.9071729957805907,0.9327548806941431,0.9197860962566844,7692,0.9957051814907176,0.9939150878163463,0.9948093293653539,0.9071729957805907,0.9327548806941431,0.9197860962566844,0.0,0.0,0.0
