epoch,train_loss,dev_loss,accuracy,macro_f1,abuse_macro_f1,abuse_micro_precision,abuse_micro_recall,abuse_micro_f1,dev_tokens,O_precision,O_recall,O_f1,B-ABUSE_precision,B-ABUSE_recall,B-ABUSE_f1,I-ABUSE_precision,I-ABUSE_recall,I-ABUSE_f1
1,1.6474383432160384,1.315403699874878,0.9426677067082684,0.3511895752384245,0.08316008316008316,1.0,0.04338394793926247,0.08316008316008316,7692,0.9425182481751825,1.0,0.9704086425551903,1.0,0.04338394793926247,0.08316008316008316,0.0,0.0,0.0
2,0.15546861562713887,0.5078210420906544,0.9764690587623505,0.581124879187183,0.7557354925775979,1.0,0.6073752711496746,0.7557354925775979,7692,0.9755801403130059,1.0,0.9876391449839513,1.0,0.6073752711496746,0.7557354925775979,0.0,0.0,0.0
3,0.054185971477121675,0.4334232471883297,0.9859594383775351,0.6199697919670466,0.8673218673218673,1.0,0.7657266811279827,0.8673218673218673,7692,0.9852840986510424,1.0,0.9925875085792725,1.0,0.7657266811279827,0.8673218673218673,0.0,0.0,0.0
